No,WELL NAME,ABBREVIATION,UWI,BLOCK #,WELL TYPE,LATITUDE,LONGITUDE,NORTHING,EASTING,MSL,CONTROL PT,DATE,SURVEYOR,OPERATOR,PAS,Remark,GISUPDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,HAMRA-3,,S01-090c-05-687-01,HEGLIG 2b DA,,9553809N,29244461E,1098329.100,764519.820,398.620,BAS-001," Aug.11,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,HEGLIG-1,,S01-078c-35-664-01,HEGLIG 2b DA,,10011390N,29233195E,1108635.070,762230.890,400.340,BAS-001," Feb.18,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,HEGLIG-10,,S01-009a-05-687-01,HEGLIG 2b DA,,9594912N,29241245E,1106038.040,763483.850,401.430,BAS-001," Feb.17,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,HEGLIG-11,,S01-087a-35-664-01,HEGLIG 2b DA,,10005771N,29231132E,1108132.790,761605.900,400.620,BAS-001," Feb.15,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,HEGLIG-12 ,,S01-067d-35-664-01,HEGLIG 2b DA,,10013516N,29232852E,1109287.820,762121.590,400.780,BAS-001," Feb.17,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,HEGLIG-13,,S01-056a-35-664-01,HEGLIG 2b DA,,10021938N,29223292E,1110634.740,760417.970,400.890,BAS-001," Feb.17,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,HEGLIG-14,,S01-040d-05-687-01,HEGLIG 2b DA,,9581421N,29244794E,1103128.680,764586.450,400.920,BAS-001," Feb.20,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,HEGLIG-15,,S01-066a-35-664-01,HEGLIG 2b DA,,10015278N,29223633E,1109817.780,760527.780,400.730,BAS-001," Aug.17,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,HEGLIG-16,,S01-030c-05-687-01,HEGLIG 2b DA,,9583154N,29243714E,1103659.080,764253.360,399.920,BAS-001," Feb.25,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,HEGLIG-17,,S01-076b-35-664-01,HEGLIG 2b DA,,10012525N,29224722E,1108973.920,760865.670,400.520,BAS-001," Feb.15,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,HEGLIG-18,,S01-088d-35-664-01,HEGLIG 2b DA,,10003138N,29235474E,1107333.160,762934.720,400.060,BAS-001," Feb.15,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,HEGLIG-19,,S01-078c-35-664-01,HEGLIG 2b DA,,10010417N,29234457E,1108338.760,762617.550,400.370,BAS-001," Feb.15,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,HEGLIG-2,,S01-058c-35-664-01,HEGLIG 2b DA,,10020390N,29234493E,1110174.770,762615.110,400.440,BAS-001," Feb.15,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
